feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,class
0.834104,0.262008,0.489430,0.869193,0.332379,0.255885,0.843674,0.288091,0.382223,0.852403,0.297187,0.430036,0.844070,0.260800,0.413401,0.756094,0.359422,0.390756,0.900576,0.281958,0.298211,0.831586,0.273944,0.481105,0.798824,0.317101,0.403403,0.658459,0.547169,0.302125,0.812580,0.214539,0.469531,0.682855,0.351549,0.474624,0.707881,0.388537,0.501815,0.684716,0.419328,0.504283,0.645663,0.481313,0.496520,0.666376,0.188155,0.781247,0.660421,0.462635,0.468321,0.518440,0.141446,0.772903,0.560373,0.164143,0.759519,0.800943,0.420658,0.401288,0.214856,0.768905,0.189900,0.854804,0.377341,0.401970,0.525983,0.617585,0.331332,0.784781,0.284215,0.501760,0.879668,0.186770,0.738178,0.905864,0.284798,0.457112,0.847132,0.308742,0.650257,0.911212,0.185878,0.506069,0.604018,0.519795,0.456161,0.523738,0.271326,0.629261,0.823021,0.403578,0.492314,0.618459,0.097434,0.835142,0.594667,0.251649,0.582768,0.675326,0.295641,0.563208,0.649826,0.301221,0.475838,0.658123,0.369957,0.397249,0.282433,0.312238,0.787733,0.371919,0.351150,0.663317,0.328707,0.377407,0.718055,0
0.621041,0.476180,0.398880,0.385441,0.666530,0.358400,0.539224,0.554063,0.330347,0.693751,0.420302,0.431598,0.769763,0.343983,0.395545,0.819582,0.323437,0.335568,0.381052,0.638087,0.395704,0.504599,0.562251,0.350773,0.734410,0.349250,0.443880,0.778064,0.366790,0.428493,0.502437,0.505645,0.411646,0.520493,0.498814,0.432773,0.605540,0.490112,0.425589,0.663606,0.416113,0.539481,0.702554,0.437920,0.513828,0.673592,0.314730,0.670980,0.867160,0.228219,0.577193,0.555528,0.220377,0.690737,0.458868,0.252506,0.595604,0.548216,0.533461,0.469487,0.880506,0.114920,0.752224,0.354224,0.801206,0.471284,0.875797,0.132224,0.593992,0.542680,0.418610,0.565699,0.662207,0.523755,0.429737,0.664748,0.538762,0.354905,0.759402,0.440656,0.523551,0.785047,0.426641,0.319727,0.895627,0.309089,0.483152,0.800048,0.133119,0.700189,0.789274,0.344002,0.625417,0.623835,0.327216,0.547899,0.560151,0.454859,0.384025,0.657318,0.439374,0.375656,0.659117,0.361983,0.366952,0.823584,0.189188,0.504759,0.329223,0.399342,0.628633,0.407142,0.466288,0.475179,0.224669,0.563133,0.589073,0
0.425443,0.794230,0.113854,0.567442,0.690350,0.028868,0.545152,0.654875,0.143114,0.469294,0.744651,0.143159,0.544029,0.654439,0.255533,0.524823,0.653544,0.322584,0.576932,0.642812,0.101703,0.458908,0.727376,0.039754,0.471479,0.715386,0.240451,0.426146,0.772079,0.331305,0.464832,0.671562,0.179532,0.393191,0.745594,0.173388,0.397150,0.783449,0.169500,0.322780,0.842285,0.184243,0.335931,0.828296,0.293926,0.734465,0.149228,0.865147,0.570946,0.601190,0.411781,0.553907,0.457071,0.771625,0.658310,0.219946,0.772860,0.419579,0.635949,0.499699,0.302946,0.744768,0.340292,0.549147,0.653602,0.307567,0.358409,0.699567,0.451391,0.409701,0.634287,0.314945,0.693166,0.461088,0.531823,0.580235,0.701013,0.198011,0.654441,0.624494,0.324030,0.632108,0.611618,0.268338,0.787806,0.325002,0.672026,0.483039,0.510453,0.407805,0.300002,0.787270,0.524184,0.467770,0.439467,0.581116,0.470853,0.543156,0.402150,0.397512,0.610667,0.462809,0.317618,0.635653,0.429086,0.287424,0.678874,0.387318,0.230959,0.587787,0.611437,0.290437,0.637128,0.465243,0.242841,0.636897,0.524117,0
0.688905,0.370170,0.531570,0.687336,0.392304,0.427129,0.675413,0.375696,0.453074,0.597662,0.505923,0.412263,0.534277,0.614452,0.350251,0.362096,0.848075,0.334097,0.791441,0.282019,0.523562,0.740407,0.313081,0.589751,0.534468,0.592747,0.375591,0.344354,0.851723,0.384705,0.728421,0.324760,0.382167,0.643281,0.409734,0.443545,0.642532,0.461008,0.495143,0.453310,0.663350,0.352784,0.378749,0.732416,0.460540,0.590038,0.307674,0.826324,0.364236,0.662240,0.639434,0.200455,0.692274,0.458751,0.389522,0.481025,0.703438,0.594653,0.276724,0.983204,0.186165,0.810208,0.275047,0.774648,0.170644,0.902218,0.258727,0.807086,0.473440,0.638690,0.240938,0.743390,0.501032,0.528749,0.666435,0.613408,0.535942,0.421500,0.571866,0.601646,0.494630,0.527443,0.684216,0.321407,0.292894,0.857157,0.437450,0.250124,0.616770,0.552408,0.710192,0.335259,0.785189,0.669365,0.268669,0.638531,0.712884,0.111741,0.656744,0.641770,0.225805,0.718929,0.451126,0.349676,0.658049,0.436239,0.416102,0.624597,0.312579,0.542326,0.657110,0.530020,0.313238,0.570039,0.204550,0.654327,0.551919,0
0.715393,0.481025,0.214393,0.702862,0.459262,0.189355,0.713772,0.448777,0.208338,0.747737,0.433020,0.275758,0.758566,0.376789,0.310579,0.683157,0.441819,0.323609,0.771034,0.401157,0.228604,0.719876,0.438985,0.226180,0.718460,0.477093,0.215168,0.620768,0.605301,0.229455,0.632708,0.509256,0.142920,0.658604,0.467690,0.289776,0.702194,0.474626,0.321532,0.590823,0.612391,0.201005,0.598453,0.588788,0.290384,0.575706,0.284801,0.651430,0.830925,0.345372,0.454595,0.447834,0.292505,0.737515,0.566584,0.324932,0.704265,0.709925,0.410151,0.460214,0.334101,0.703691,0.236410,0.699499,0.381896,0.539785,0.549906,0.541490,0.423100,0.658443,0.307017,0.528999,0.610094,0.482057,0.489065,0.714230,0.511319,0.281964,0.732744,0.425288,0.499924,0.776657,0.362606,0.379264,0.489310,0.598141,0.376402,0.476979,0.364956,0.615155,0.655727,0.453765,0.612436,0.664886,0.286740,0.581153,0.658415,0.437450,0.271552,0.749348,0.403514,0.308330,0.798529,0.291285,0.328617,0.704303,0.323613,0.437480,0.384034,0.464012,0.571766,0.546951,0.545523,0.205158,0.429573,0.649074,0.319789,0
0.266277,1.000000,0.000000,0.339440,0.787593,0.167092,0.299567,0.879520,0.072781,0.257249,1.000000,0.000000,0.354274,1.000000,0.000000,0.428151,0.984341,0.000000,0.385998,0.741685,0.234462,0.282185,0.879773,0.053365,0.321467,1.000000,0.008260,0.383561,0.987357,0.062852,0.243656,0.860993,0.148511,0.184255,0.973620,0.000000,0.276709,0.947169,0.023367,0.233246,1.000000,0.000000,0.254493,1.000000,0.000000,0.563335,0.418642,0.661782,0.679282,0.512150,0.412137,0.620445,0.365884,0.847561,0.534329,0.536850,0.603416,0.246606,0.813421,0.325578,0.446164,0.574932,0.561062,0.478101,0.698454,0.329318,0.509134,0.632603,0.424329,0.277584,0.715061,0.250970,0.346895,0.806883,0.364752,0.342620,0.902411,0.164645,0.376073,0.950392,0.095546,0.432605,0.930992,0.071858,0.557232,0.703611,0.290525,0.497344,0.425364,0.727215,0.220745,0.825865,0.596429,0.450277,0.689639,0.369665,0.353094,0.967294,0.035191,0.319831,1.000000,0.000000,0.301911,0.980240,0.000000,0.117750,1.000000,0.095685,0.397519,0.639901,0.483046,0.339554,0.982510,0.000000,0.247976,0.994410,0.113867,0
0.743497,0.331937,0.463801,0.715697,0.442572,0.269495,0.751645,0.340221,0.379965,0.807307,0.308815,0.477879,0.766996,0.340169,0.394349,0.718775,0.412721,0.386099,0.653206,0.500266,0.175448,0.706317,0.380092,0.419498,0.690496,0.426654,0.371913,0.639882,0.495831,0.447305,0.597495,0.421924,0.399487,0.533998,0.488862,0.402351,0.578103,0.497392,0.467492,0.564612,0.508019,0.529844,0.568726,0.473534,0.718805,0.664337,0.154407,0.949887,0.772936,0.341954,0.552081,0.687950,0.127638,0.719251,0.682480,0.295326,0.683897,0.512585,0.499413,0.534310,0.634318,0.383242,0.522502,0.601045,0.571479,0.425971,0.581786,0.352487,0.692175,0.462884,0.566630,0.418653,0.641638,0.426774,0.676860,0.783442,0.355197,0.507295,0.776423,0.303803,0.789280,0.831946,0.258206,0.531120,0.597998,0.473329,0.733489,0.579608,0.226261,0.742019,0.626805,0.445243,0.645521,0.584375,0.131278,0.772332,0.516211,0.296631,0.594510,0.535852,0.326959,0.673963,0.476344,0.373277,0.574818,0.504949,0.384363,0.574113,0.439668,0.250304,0.749735,0.351659,0.422789,0.551271,0.329797,0.570298,0.461281,0
0.933919,0.004045,0.775327,0.894969,0.141327,0.521800,0.955177,0.000000,0.758109,0.935465,0.000000,0.811112,0.901038,0.003824,0.721518,0.764852,0.239404,0.557286,0.967290,0.073905,0.561108,0.979102,0.000000,0.822083,0.889414,0.041873,0.711998,0.732423,0.334582,0.578199,0.900953,0.049680,0.541597,0.847750,0.114087,0.650598,0.862949,0.162276,0.726946,0.846126,0.161363,0.801281,0.742845,0.342452,0.660657,0.622660,0.169712,0.723817,0.615153,0.611781,0.313079,0.272188,0.435077,0.478230,0.256719,0.845582,0.295856,0.625696,0.535898,0.378057,0.264198,0.851759,0.272933,0.785845,0.407841,0.321085,0.510522,0.679323,0.276021,0.687657,0.345231,0.413860,0.789837,0.253700,0.675947,0.884378,0.151430,0.670416,0.854660,0.170959,0.896828,0.902784,0.046202,0.715283,0.583412,0.540206,0.469402,0.549511,0.330830,0.676792,0.732107,0.468300,0.470308,0.626287,0.332708,0.501370,0.751267,0.307061,0.303779,0.789671,0.335709,0.353466,0.740437,0.349448,0.292033,0.633790,0.466307,0.300816,0.246928,0.535099,0.563542,0.549962,0.479100,0.291210,0.431710,0.664988,0.325036,0
0.772896,0.304385,0.497684,0.871088,0.307572,0.283309,0.839061,0.271632,0.412905,0.812926,0.308738,0.461496,0.729782,0.374472,0.401063,0.590562,0.531513,0.426890,0.890077,0.254898,0.387304,0.885966,0.200572,0.597398,0.714017,0.362599,0.477402,0.523260,0.622848,0.451551,0.809000,0.232255,0.443602,0.721478,0.305539,0.534924,0.699142,0.384994,0.562767,0.563925,0.531439,0.482251,0.496366,0.601319,0.545549,0.769645,0.095017,0.884720,0.574578,0.473441,0.566445,0.267103,0.581362,0.703514,0.566397,0.355432,0.605639,0.794451,0.229943,0.749272,0.316487,0.671204,0.463214,0.869440,0.149623,0.773436,0.393753,0.628385,0.533252,0.697779,0.319782,0.602607,0.750916,0.352740,0.607613,0.804974,0.426490,0.353465,0.729840,0.544767,0.361093,0.734540,0.459214,0.362127,0.494699,0.636799,0.563310,0.559072,0.355607,0.443508,0.763908,0.339533,0.680362,0.662468,0.304716,0.590702,0.615629,0.212370,0.648476,0.555217,0.300290,0.713310,0.456534,0.396351,0.573377,0.575669,0.327721,0.554365,0.322195,0.638335,0.487160,0.430167,0.465171,0.501641,0.287049,0.690239,0.438158,0
0.700565,0.376582,0.493918,0.727665,0.363942,0.405128,0.732016,0.322151,0.478827,0.785986,0.266793,0.587240,0.771819,0.233431,0.565720,0.701879,0.315846,0.549440,0.697639,0.408392,0.374796,0.699154,0.358689,0.504012,0.689386,0.368027,0.510405,0.579734,0.507963,0.552861,0.583191,0.438391,0.430449,0.536293,0.486964,0.464993,0.561707,0.525339,0.465172,0.534734,0.554203,0.494190,0.525295,0.515464,0.702626,0.702316,0.215087,0.764325,0.736778,0.339229,0.617291,0.359967,0.408709,0.587413,0.485503,0.324132,0.694550,0.560191,0.449166,0.638127,0.331528,0.634500,0.463632,0.645470,0.478997,0.515614,0.485303,0.479245,0.653075,0.502966,0.502431,0.289765,0.778504,0.260464,0.743700,0.783764,0.313977,0.560565,0.805899,0.276770,0.780275,0.808672,0.258593,0.545314,0.605560,0.474957,0.612259,0.394029,0.364152,0.815617,0.573810,0.532707,0.598503,0.336628,0.457877,0.680515,0.384670,0.492334,0.554777,0.487917,0.413982,0.624117,0.509191,0.338953,0.594867,0.539767,0.359216,0.552609,0.162944,0.605206,0.603978,0.207159,0.633958,0.521515,0.222311,0.594167,0.571881,0
0.770644,0.321766,0.471037,0.893214,0.302572,0.245800,0.812283,0.330619,0.314877,0.826020,0.340155,0.370333,0.801533,0.336401,0.347146,0.719610,0.471643,0.273195,0.875809,0.228223,0.464282,0.827567,0.251719,0.533317,0.752594,0.334805,0.452213,0.620398,0.541106,0.403028,0.704266,0.298648,0.464546,0.639478,0.379212,0.499699,0.674692,0.397941,0.576300,0.596753,0.483862,0.520247,0.569644,0.492605,0.637076,0.677158,0.239831,0.722925,0.805380,0.276239,0.618317,0.395815,0.332101,0.669196,0.540868,0.333167,0.753967,0.737879,0.324505,0.631092,0.452995,0.594574,0.379190,0.796980,0.252718,0.666376,0.540433,0.448707,0.632164,0.637686,0.472575,0.324007,0.754738,0.366135,0.550513,0.850178,0.401143,0.319262,0.793106,0.394776,0.530894,0.849117,0.341449,0.343666,0.580884,0.554641,0.494089,0.607954,0.311638,0.588516,0.757411,0.394792,0.579673,0.573140,0.246106,0.715391,0.562009,0.274910,0.607635,0.591677,0.279215,0.694260,0.539868,0.287797,0.635110,0.562718,0.329678,0.582025,0.263938,0.470850,0.697906,0.372806,0.444481,0.582733,0.298222,0.571985,0.561965,0
0.729015,0.386205,0.413446,0.463295,0.631805,0.279376,0.631747,0.492441,0.316814,0.733144,0.398505,0.394034,0.797791,0.331278,0.384306,0.650760,0.583147,0.181103,0.449944,0.587757,0.411238,0.666461,0.422689,0.432160,0.731047,0.377100,0.389156,0.560949,0.696193,0.175621,0.461249,0.575613,0.310256,0.616134,0.428082,0.453426,0.661765,0.451055,0.444301,0.546830,0.569253,0.362332,0.515925,0.681885,0.269599,0.785829,0.122559,0.693899,0.758858,0.443370,0.353206,0.435025,0.812632,0.163161,0.245160,0.880986,0.145586,0.292055,0.757139,0.445216,0.421399,0.635178,0.470763,0.261241,0.801593,0.217456,0.435497,0.733747,0.241309,0.212964,0.718480,0.222900,0.460680,0.714802,0.367700,0.545786,0.705357,0.174916,0.708050,0.502840,0.434379,0.724294,0.556348,0.201155,0.718730,0.452487,0.522415,0.604022,0.328855,0.635464,0.460702,0.512425,0.706020,0.432022,0.881138,0.081657,0.614114,0.511853,0.239611,0.636336,0.423563,0.427398,0.625310,0.343422,0.446553,0.581443,0.415699,0.440399,0.588711,0.665440,0.178214,0.601090,0.397223,0.345351,0.481205,0.603538,0.325107,0
